Company,Ticker,Short,Category,Financial
IDEA.NS,vodafoneidealimited,IC8,telecommunications-service,IC8
IDBI.NS,idbibank,IDB05,banks-public-sector,IDB
SINTEX.NS,sintexindustries,SI27,diversified,SI27
SUZLON.NS,suzlonenergy,SE17,power-generationdistribution,SE17
YESBANK.NS,yesbank,YB,banks-private-sector,YB
MINDTREE.NS,mindtree,MT13,computers-software,MC20
AXISBANK.NS,axisbank,AB16,banks-private-sector,UTI10
BANDHANBNK.NS,bandhanbank,BB09,banks-private-sector,BB09
CUB.NS,cityunionbank,CUB,banks-private-sector,CUB
FEDERALBNK.NS,federalbank,FB,banks-private-sector,FB
HDFCBANK.NS,hdfcbank,HDF01,banks-private-sector,HDF01
ICICIBANK.NS,icicibank,ICI02,banks-private-sector,ICI02
IDFCFIRSTB.NS,idfcfirstbank,IDF01,banks-private-sector,IDF01
INDUSINDBK.NS,indusindbank,IIB,banks-private-sector,IIB
KOTAKBANK.NS,kotakmahindrabank,KMB,banks-private-sector,KMF
RBLBANK.NS,rblbank,RB03,banks-private-sector,RB02
AMARAJABAT.NS,amararajabatteries,ARB,auto-ancillaries,ARB
ASHOKLEY.NS,ashokleyland,AL,auto-lcvshcvs,AL
BAJAJ-AUTO.NS,bajajauto,BA10,auto-23-wheelers,BA06
BALKRISIND.NS,balkrishnaindustries,BI03,tyres,BI03
BHARATFORG.NS,bharatforge,BF03,castingsforgings,BFC
BOSCHLTD.NS,bosch,B05,auto-ancillaries,MIC
EICHERMOT.NS,eichermotors,EM,auto-lcvshcvs,EM
EXIDEIND.NS,exideindustries,EI,auto-ancillaries,EI
HEROMOTOCO.NS,heromotocorp,HHM,auto-23-wheelers,HHM
MRF.NS,mrf,MRF,tyres,MRF
M&M.NS,mahindramahindra,MM,auto-carsjeeps,MM
MARUTI.NS,marutisuzukiindia,MS24,auto-carsjeeps,MU01
MOTHERSUMI.NS,mothersonsumisystems,MSS01,auto-ancillaries,MSS01
TVSMOTOR.NS,tvsmotorcompany,TVS,auto-23-wheelers,TVS
TATAMOTORS.NS,tatamotors,TM03,auto-lcvshcvs,TEL
BANKBARODA.NS,bankbaroda,BOB,banks-public-sector,BOB
PNB.NS,punjabnationalbank,PNB05,banks-public-sector,PNB05
SBIN.NS,statebankindia,SBI,banks-public-sector,SBI
BATAINDIA.NS,bataindia,BI01,leather-products,BI01
BLUESTARCO.NS,bluestar,BS,consumer-goods-white-goods,BS
CROMPTON.NS,cromptongreavesconsumerelectrical,CGC01,electricals,CGC01
DIXON.NS,dixontechnologies,DT07,electricals,DT07
HAVELLS.NS,havellsindia,HI01,electric-equipment,HI01
ORIENTELEC.NS,orientelectriclimited,ORIEN54130,consumer-goods-electronic,ORIEN54130
RAJESHEXPO.NS,rajeshexports,RE07,diamond-cuttingjewelleryprecious-metals,RE07
RELAXO.NS,relaxofootwears,RF07,leather-products,RF07
SYMPHONY.NS,symphony,SCS04,consumer-goods-white-goods,SCS04
TTKPRESTIG.NS,ttkprestige,TTK02,domestic-appliances,TTK02
TITAN.NS,titancompany,TI01,miscellaneous,TI01
VGUARD.NS,v-guardindustries,VI02,electric-equipment,VI16
VIPIND.NS,vipindustries,VIP,householdpersonal-products,VIP
VOLTAS.NS,voltas,V,diversified,V
WHIRLPOOL.NS,whirlpoolindia,WI,consumer-goods-white-goods,WI
BAJFINANCE.NS,bajajfinance,BAF,finance-leasinghire-purchase,BAF
BAJAJFINSV.NS,bajajfinserv,BF04,finance-investments,BF04
BAJAJHLDNG.NS,bajajholdingsinvestment,BHI,finance-investments,BA
CHOLAFIN.NS,cholamandalaminvestmentfinancecompany,CDB,finance-leasinghire-purchase,CIF01
HDFCAMC.NS,hdfcassetmanagementcompany,HAM02,finance-investments,HAM02
HDFCLIFE.NS,hdfclifeinsurancecompanylimited,HSL01,miscellaneous,HSL01
HDFC.NS,hdfcbank,HDF01,banks-private-sector,HDF
ICICIGI.NS,icicilombardgeneralinsurancecompany,ILG,diversified,ILG
ICICIPRULI.NS,iciciprudentiallifeinsurancecompany,IPL01,finance-general,IPL01
M&MFIN.NS,mahindramahindrafinancialservices,MMF04,finance-nbfc,MMF04
PEL.NS,piramalenterprises,PH05,pharmaceuticals,NP07
PFC.NS,powerfinancecorporation,PFC02,finance-term-lending-institutions,PFC02
RECLTD.NS,rec,REC02,finance-term-lending-institutions,REC02
SBILIFE.NS,sbilifeinsurancecompany,SLI03,diversified,SLI03
SRTRANSFIN.NS,shriramtransportfinancecorporation,STF,finance-leasinghire-purchase,STF
BRITANNIA.NS,britanniaindustries,BI,food-processing,BI
COLPAL.NS,colgatepalmoliveindia,CPI,personal-care,CPI
DABUR.NS,daburindia,DI,personal-care,DI
EMAMILTD.NS,emami,E06,personal-care,E05
GODREJCP.NS,godrejconsumerproducts,GCP,personal-care,GCP
HINDUNILVR.NS,hindustanunilever,HU,personal-care,HL
ITC.NS,itc,ITC,cigarettes,ITC
JUBLFOOD.NS,jubilantfoodworks,JF04,miscellaneous,JI08
MARICO.NS,marico,M13,personal-care,MI25
NESTLEIND.NS,nestleindia,NI,food-processing,NI
PGHH.NS,proctergamblehygienehealthcare,PGH,personal-care,PGI
TATACONSUM.NS,tataconsumerproducts,TT,plantations-teacoffee,TT
UBL.NS,unitedbreweries,UB02,breweriesdistilleries,UBB
MCDOWELL-N.NS,unitedspirits,US,breweriesdistilleries,MDH
VBL.NS,varunbeverages,VB05,food-processing,VB05
COFORGE.NS,coforgelimited,NII02,computers-software,NII02
HCLTECH.NS,hcltechnologies,HCL02,computers-software,HCL02
NAUKRI.NS,infoedgeindia,IEI01,miscellaneous,IEI01
INFY.NS,infosys,IT,computers-software,IT
LTI.NS,larsentoubroinfotech,LI12,computers-software,LT
MINDTREE.NS,mindtree,MT13,computers-software,MC20
MPHASIS.NS,mphasis,MB02,computers-software,BFL
TCS.NS,tataconsultancyservices,TCS,computers-software,TCS
TECHM.NS,techmahindra,TM4,computers-software,TM4
WIPRO.NS,wipro,W,computers-software,W
DBCORP.NS,dbcorp,C13,mediaentertainment,C13
DISHTV.NS,dishtvindia,DTV,mediaentertainment,DTV
HATHWAY.NS,hathwaycabledatacom,HCD,mediaentertainment,HCD
INOXLEISUR.NS,inoxleisure,INO01,mediaentertainment,INO01
JAGRAN.NS,jagranprakashan,JP12,mediaentertainment,JP12
PVR.NS,pvr,PVR,mediaentertainment,PVR
SUNTV.NS,suntvnetwork,STN01,mediaentertainment,STV01
TVTODAY.NS,tvtodaynetwork,TVT,mediaentertainment,TVT
TV18BRDCST.NS,tv18broadcast,IBN,mediaentertainment,GBN
ZEEL.NS,zeeentertainmententerprises,ZEE,mediaentertainment,ZT
APLAPOLLO.NS,aplapollotubes,BT09,steel-tubespipes,BT09
COALINDIA.NS,coalindia,CI11,miningminerals,CI29
HINDALCO.NS,hindalcoindustries,HI,aluminium,H
HINDCOPPER.NS,hindustancopper,HC07,metals-non-ferrous,HC07
HINDZINC.NS,hindustanzinc,HZ,metals-non-ferrous,HZ
JSWSTEEL.NS,jswsteel,JSW01,steel-large,JVS
JINDALSTEL.NS,jindalsteelpower,JSP,steel-sponge-iron,JSP
MOIL.NS,moil,M18,miningminerals,M11
MIDHANI.NS,mishradhatunigamltd,MDN,miscellaneous,MDN
NMDC.NS,nmdc,NMD02,miningminerals,NMD01
NATIONALUM.NS,nationalaluminiumcompany,NAC,aluminium,NAC
RATNAMANI.NS,ratnamanimetalstubes,RMT,steel-tubespipes,RMT
SAIL.NS,steelauthorityindia,SAI,steel-large,SAI
TATASTEEL.NS,tatasteel,TIS,steel-large,TIS
WELCORP.NS,welspuncorp,WGS,steel-tubespipes,WGS
ALKEM.NS,alkemlaboratories,AL05,pharmaceuticals,AL16
AUROPHARMA.NS,aurobindopharma,AP,pharmaceuticals,AP
BIOCON.NS,biocon,BL03,pharmaceuticals,BL03
CADILAHC.NS,cadilahealthcare,CHC,pharmaceuticals,CHC
CIPLA.NS,cipla,C,pharmaceuticals,C
